Juhtumi nr,Toimumisaeg,Isikuid,Hukkunuid,Sõidukeid,Vigastatuid,Maakond,Omavalitsus,Asula,Liiklusõnnetuse liik,Liiklusõnnetuse liik (detailne),Joobes mootorsõidukijuhi osalusel,Kergliikurijuhi osalusel,Jalakäija osalusel,Kaassõitja osalusel,Maastikusõiduki juhi osalusel,Eaka (65+) mootorsõidukijuhi osalusel,Bussijuhi osalusel,Veoautojuhi osalusel,Ühissõidukijuhi osalusel,Sõiduautojuhi osalusel,Mootorratturi osalusel,Mopeedijuhi osalusel,Jalgratturi osalusel,Alaealise osalusel,Esmase juhiloa omaniku osalusel,Turvavarustust mitte kasutanud isiku osalusel,Mootorsõidukijuhi osalusel,X koordinaat,Y koordinaat
3100190537537,09/09/2019,2,0,2,1,Harju maakond,Jõelähtme vald,EI,Kokkupõrge,Kokkupõrge sõidukiga küljelt,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,6594054.0,565597.7
3120160082225,25/09/2016,2,0,2,1,Tartu maakond,Tartu vald,EI,Kokkupõrge,Kokkupõrge ees liikuva sõidukiga,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,6479645.3,662530.5
2402130040217,15/05/2013,2,0,2,1,Ida-Viru maakond,Narva linn,JAH,Kokkupõrge,Kokkupõrge vastutuleva sõidukiga,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,6588149.0,734366.0
3130130001587,12/06/2013,1,0,1,1,Lääne-Viru maakond,Rakvere linn,JAH,Ühesõidukiõnnetus,Kokkupõrge teevälise takistusega,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,6579170.0,634253.0
2101240100343,13/06/2024,2,1,2,0,Lääne-Viru maakond,Rakvere vald,EI,Kokkupõrge,Kokkupõrge sõidukiga küljelt,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,6582919.0,637334.0
3130160017090,11/03/2016,2,0,1,1,Harju maakond,Saue vald,EI,Jalakäijaõnnetus,Kokkupõrge jalakäijaga,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,6551328.1,514467.9
3100220503923,22/08/2022,2,0,2,1,Harju maakond,Tallinn,JAH,Kokkupõrge,Sõidukite külgkokkupõrge,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,6589755.0,544773.0
3120160064964,25/07/2016,4,0,3,3,Tartu maakond,Tartu linn,JAH,Kokkupõrge,Kokkupõrge sõidukiga küljelt,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,6475540.3,659622.2
3110160139525,16/09/2016,2,0,1,1,Harju maakond,Tallinn,JAH,Jalakäijaõnnetus,Kokkupõrge jalakäijaga,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,6590190.0,550327.0
3100200359229,28/06/2020,6,0,2,4,Harju maakond,Saue vald,EI,Kokkupõrge,Kokkupõrge ees liikuva sõidukiga,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,6575014.9,531950.0
2101230085773,23/07/2023,1,0,1,1,Harju maakond,Tallinn,JAH,Ühesõidukiõnnetus,Sõiduki ümberpaiskumine teel,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6585478.0,542033.0
3110150198321,05/11/2015,3,0,2,3,Harju maakond,Tallinn,JAH,Muu liiklusõnnetus,Kukkumine ühissõidukis,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,6588644.0,540861.0
2840130003537,14/06/2013,1,0,1,1,Viljandi maakond,Mulgi vald,EI,Ühesõidukiõnnetus,Sõiduki teelt väljasõit,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,6441925.9,580264.6
3120160061639,13/07/2016,1,0,1,1,Valga maakond,Valga vald,JAH,Ühesõidukiõnnetus,Sõiduki ümberpaiskumine teel,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6415569.0,630276.0
2302200011552,26/07/2020,2,0,1,2,Harju maakond,Tallinn,JAH,Jalakäijaõnnetus,Kokkupõrge jalakäijaga,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,6588989.0,535596.0
